query.term,STRING_id
IFI30,9606.ENSP00000384886
IFITM2,9606.ENSP00000484689
FGL2,9606.ENSP00000248598
STON1,9606.ENSP00000384615
FAM129A,9606.ENSP00000356481
SERPINA3,9606.ENSP00000450540
CCR1,9606.ENSP00000296140
CP,9606.ENSP00000264613
CCDC80,9606.ENSP00000206423
CYBB,9606.ENSP00000367851
APLNR,9606.ENSP00000475344
EMP1,9606.ENSP00000256951
FCER1G,9606.ENSP00000289902
FCGR1A,9606.ENSP00000358165
FCGR2A,9606.ENSP00000271450
FCGR3A,9606.ENSP00000356946
CD93,9606.ENSP00000246006
FMO2,9606.ENSP00000209929
CLIC4,9606.ENSP00000363500
GFAP,9606.ENSP00000253408
GMPR,9606.ENSP00000259727
ANGPT1,9606.ENSP00000428340
LPAR4,9606.ENSP00000408205
ANXA2,9606.ENSP00000346032
HLA-DPA1,9606.ENSP00000393566
HMOX1,9606.ENSP00000216117
ICAM1,9606.ENSP00000264832
IL1R1,9606.ENSP00000386380
AQP1,9606.ENSP00000311165
IL13RA1,9606.ENSP00000360730
LYZ,9606.ENSP00000261267
MSR1,9606.ENSP00000405453
MYD88,9606.ENSP00000498321
NCF2,9606.ENSP00000356505
OLR1,9606.ENSP00000309124
TNFRSF11B,9606.ENSP00000297350
MS4A4A,9606.ENSP00000338648
SERPINA1,9606.ENSP00000416066
TREM2,9606.ENSP00000362205
RBM47,9606.ENSP00000295971
ACPP,9606.ENSP00000323036
FAM70A,9606.ENSP00000310110
STEAP3,9606.ENSP00000376822
PTAFR,9606.ENSP00000442658
MS4A7,9606.ENSP00000300184
RARRES3,9606.ENSP00000255688
S100A11,9606.ENSP00000271638
CCL2,9606.ENSP00000225831
MS4A6A,9606.ENSP00000435844
TLR3,9606.ENSP00000296795
C1QB,9606.ENSP00000313967
TNFRSF1A,9606.ENSP00000162749
C3,9606.ENSP00000245907
C4A,9606.ENSP00000396688
C4B,9606.ENSP00000415941
C7,9606.ENSP00000322061
VCAM1,9606.ENSP00000294728
APOL4,9606.ENSP00000338260
SCIN,9606.ENSP00000297029
CD14,9606.ENSP00000385519
CD44,9606.ENSP00000398632
CD74,9606.ENSP00000009530
